Latitude,Longitude,Density Class,x,y
27.8521,-97.0414,3,-10802599.2338664,3230339.74762963
27.5991,-97.2111,2,-10821490.151454,3198522.8507768
29.8184,-83.5934,0,-9305574.72167843,3480228.1496604
30.2796,-87.755,2,-9768841.91456372,3539540.68421678
30.3092,-89.3256,2,-9943680.30680363,3543356.85957268
30.3073,-89.3269,2,-9943825.02214167,3543111.86776976
29.755,-94.692,0,-10541065.2221967,3472096.09238048
13.79,-59.82,1,-6659131.93925362,1550134.74524742
11.87,-61.33,2,-6827224.37035147,1330917.12569305
17.67,-63.58,0,-7077693.22463633,1998958.5099976
18.3,-64.73,0,-7205710.63904859,2072693.08097514
24.17,-83.48,1,-9292951.09142247,2774137.07452739
24.562,-81.8055,0,-9106546.60408914,2822041.33225395
24.8964,-80.662,2,-8979252.76636703,2863025.05328797
29.2648,-94.8289,2,-10556304.8604863,3409392.50620383
29.24,-89.9787,3,-10016383.0662407,3406228.26459089
21.5317,-87.3683,0,-9725794.66747396,2455392.2365503
21.5307,-87.3696,0,-9725939.38281199,2455272.56620613
19.541887,-90.70652,0,-10097403.6180299,2218839.39093622
20.5448,-86.8805,1,-9671493.019865,2337682.88031074
27.4921,-97.2663,1,-10827634.9873458,3185088.82222576
27.5836,-97.2185,3,-10822313.9156859,3196575.98890023
27.7994,-97.0784,2,-10806718.0550257,3223706.17911535
29.1121,-95.0817,3,-10584446.4277588,3389921.6045873
29.7086,-94.9775,3,-10572846.9368181,3466147.81510309
24.8118,-80.8261,2,-8997520.2948062,2852646.13862984
16.27,-80.22,0,-8930049.5514364,1836011.53936928
11.54,-67.44,0,-7507386.45909836,1293401.50541299
15.9,-73.0,0,-8126322.82790896,1793145.09690103
29.5635,-95.0695,0,-10583088.3299711,3447564.33253073
29.2804,-94.8017,2,-10553276.9703367,3411383.30946419
29.3342,-94.7275,3,-10545017.0641198,3418251.36162055
29.4509,-94.6334,0,-10534541.9000362,3433161.63560399
21.526733,-87.37755,0,-9726824.3727638,2454797.84206871
24.9409,-80.6085,2,-8973297.17360958,2868487.26492546
28.0673,-96.8462,2,-10780869.6692635,3257461.4326207
27.7041,-97.1499,2,-10814677.3986174,3211718.53159414
27.7887,-97.0879,3,-10807775.5901883,3222359.7186092
27.7975,-97.081,2,-10807007.4857018,3223467.07831871
27.3465,-97.327,2,-10834392.0804369,3166829.44501236
29.1216,-95.0679,1,-10582910.2187858,3391132.11267596
17.3211,-87.7892,2,-9772649.04114885,1958235.22069474
28.8818,-96.1871,2,-10707498.9928817,3360610.40800117
28.6887,-96.528,2,-10745447.8072931,3336083.87021601
30.3059,-89.328,2,-9943947.47358154,3542931.35053263
29.5962,-94.9872,2,-10573926.7358788,3451750.00450296
18.4356,-64.7122,0,-7203729.15211247,2088598.32882821
15.66,-60.77,0,-6764885.45550723,1765382.09148063
11.92,-61.44,2,-6839469.51433872,1336605.24147113
11.23,-62.23,0,-6927411.91206541,1258199.74884074
14.94,-65.03,0,-7239106.48628658,1682286.32325867
18.73,-75.58,0,-8413527.11415561,2123173.4347698
16.43,-79.94,2,-8898880.09401428,1854573.30240212
27.004,-97.3789,3,-10840169.5620091,3123971.50513471
28.9798,-95.338,1,-10612977.6132491,3373075.27868207
29.2272,-94.8953,2,-10563696.4746749,3404595.40763521
29.182,-94.9712,2,-10572145.6240261,3398831.01339862
29.2942,-94.7814,2,-10551017.1846736,3413144.65802111
21.516267,-87.391983,2,-9728431.04697442,2453545.45587877
27.7039,-97.1499,2,-10814677.3986174,3211693.38490951
27.7044,-97.1497,2,-10814655.1347193,3211756.2517075
27.4763,-97.2743,3,-10828525.5432721,3183106.21331817
27.6167,-97.2007,2,-10820332.4287497,3200733.81488279
27.6162,-97.2024,3,-10820521.6718841,3200670.99850003
27.5863,-97.2177,3,-10822224.8600932,3196915.09988388
28.1367,-96.7579,3,-10771040.1582265,3266219.48965292
27.9569,-96.9615,2,-10793704.806552,3243540.95162698
27.6477,-97.1844,3,-10818517.9210498,3204628.9909967
29.6521,-95.0103,3,-10576498.2161162,3458908.47160911
29.5872,-94.9957,4,-10574872.9515506,3450597.84943621
29.727,-95.2799,3,-10606509.950834,3468506.28556364
30.2447,-88.0909,0,-9806234.13152118,3535042.68556944
30.3073,-89.3269,2,-9943825.02214167,3543111.86776976
30.306,-89.328,2,-9943947.47358154,3542944.24453549
15.62,-62.03,2,-6905148.01390676,1760758.10681936
13.75,-69.77,0,-7766760.8726467,1545550.2013331
20.02,-80.17,2,-8924483.57689674,2275400.35211114
19.58,-79.08,0,-8803145.33193207,2223341.9732773
16.5,-85.99,0,-9572363.01331359,1862698.87215069
11.97,-68.07,2,-7577517.73829812,1342294.40519611
26.2087,-97.1782,2,-10817827.7402069,3024952.37722681
27.601,-97.2102,3,-10821389.9639123,3198761.51730216
27.5819,-97.2197,2,-10822447.4990748,3196362.47886022
29.251,-94.8529,2,-10558976.5282653,3407631.6641921
30.4451,-84.1898,4,-9371965.66598754,3560892.56670479
30.3057,-89.3283,1,-9943980.86942877,3542905.56256636
29.6557,-95.0076,2,-10576197.653491,3459369.61820171
29.6545,-95.0086,3,-10576308.9729818,3459215.90083793
29.761,-95.0796,4,-10584212.6568281,3472865.46714427
13.85,-61.07,0,-6798281.30274521,1557013.03494222
13.17,-59.67,2,-6642434.01563463,1479161.05612325
17.4,-66.73,0,-7428349.62063514,1967437.53139506
16.17,-68.88,0,-7667686.52584068,1824418.12725504
19.66,-73.75,2,-8209812.44600392,2232796.45798724
18.2893,-64.277,0,-7155282.90971924,2071438.55199398
19.03,-77.84,0,-8665109.16334841,2158468.2475486
17.61,-76.39,2,-8503695.90169817,1991949.7853343
15.2,-63.7,1,-7091051.56353152,1712260.25586154
15.58,-62.67,1,-6976392.48801445,1756135.02460069
29.2744,-94.8115,3,-10554367.9013465,3410617.57994436
29.2742,-94.8116,2,-10554379.0332955,3410592.05640125
29.2758,-94.8103,2,-10554234.3179575,3410796.24614459
27.12,-83.27,0,-9269573.99835589,3138472.17956838
27.5341,-97.245,3,-10825263.8821919,3190360.43251913
27.6187,-97.2012,2,-10820388.0884951,3200985.08328174
29.2341,-94.8843,2,-10562471.9602762,3405475.59422448
29.366,-94.813,3,-10554534.8805826,3422312.62056481
29.2938,-94.7825,2,-10551139.6361134,3413093.60109088
29.2838,-94.796,0,-10552642.4492392,3411817.24281696
